npsn,nama,jenjang,status,kabupaten,kecamatan,alamat_jalan,dusun,kode_pos,telepon,email,website,akreditasi,jml_siswa,jml_siswa_l,jml_siswa_p,jml_rombel
20517415,SMP AN-NUR,SMP,SWASTA,Kab. Malang,Kec. Bululawang,Jl. Raya Bululawang,,65171,0341805609,smpannur1992@gmail.com,http://www.smpannur.sch.id,A,2887,1295,1592,91
20515443,SMKS SORE TULUNGAGUNG,SMK,SWASTA,Kab. Tulungagung,Kec. Boyolangu,JL. MASTRIP NO.100,-,66235,0355322498,smk_sore_tagung@yahoo.com,http://www.smksoretulungagung.sch.id,A,2814,2506,308,70
20533808,SMKS PGRI 3 MALANG,SMK,SWASTA,Kota Malang,Kec. Lowokwaru,JL. RAYA TLOGOMAS NO. 29 MALANG,-,65144,0341554383,mail.smkpgri3malang@gmail.com,http://www.smkpgri3-malang.sch.id,A,2737,2068,669,85
20535055,SMKS ISLAM 1 KOTA BLITAR,SMK,SWASTA,Kota Blitar,Kec. Kepanjenkidul,JL. MUSI NO.6 BLITAR,Kauman,66117,0342802137,smkislam@gmail.com,http://https://smkislam1blitar.sch.id,A,2699,2425,274,72
20510106,SMKS PGRI 2 PONOROGO,SMK,SWASTA,Kab. Ponorogo,Kec. Babadan,JL. SOEKARNO - HATTA,-,63491,0352461821,smkpgri2ponorogo@yahoo.com,http://www.smkpgri2ponorogo.com,A,2643,2380,263,72
20501692,SMKS KRIAN 1 SIDOARJO,SMK,SWASTA,Kab. Sidoarjo,Kec. Krian,JL. RAYA SIDOARJO KRIAN,Bakalan,61262,0318971207,mail@smkkrian1.sch.id,http://www.smkkrian1.sch.id,A,2606,2231,375,67
20522637,SMKS IBRAHIMY 1 SUKOREJO,SMK,SWASTA,Kab. Situbondo,Kec. Banyuputih,JL. KHR SYAMSUL ARIFIN SUKOREJO,SUKOREJO,68374,0338452666,smk_ibrahimy1@ymail.com,http://www.smkibrahimy1sukorejo.sch.id,A,2604,1211,1393,71
20537286,SMKN 1 BOYOLANGU,SMK,NEGERI,Kab. Tulungagung,Kec. Boyolangu,JL. KI MANGUNSARKORO VI/3,-,66233,0355323024,smkn1boyolangu@yahoo.co.id,http://www.smkn1boyolangu.sch.id,A,2582,594,1988,72
20515441,SMKN 1 BANDUNG,SMK,NEGERI,Kab. Tulungagung,Kec. Bandung,"Ds. Bantengan, Kec. Bandung",KRAJAN,66274,0355531899,smknbandung@smknbandung.sch.id,http://smknbandung.sch.id,A,2557,1612,945,72
20571035,SMP IBRAHIMY 3 SUKOREJO,SMP,SWASTA,Kab. Situbondo,Kec. Banyuputih,Jl. KHR. Syamsul Arifin ,Sumberejo,68374,0338452666,smpibrahimytiga@yahoo.com,http://,A,2540,0,2540,66
20532211,SMKN 5 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Gubeng,JL. MAYJEND PROF. DR. MOESTOPO 167-169,-,60285,0315934888,stemba5sby@gmail.com,http://smkn5-sby.sch.id,A,2535,1759,776,75
20532204,SMKN 10 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Sukolilo,JL. KEPUTIH TEGAL,-,60111,0315939581,info@smkn10surabaya.sch.id,http://www.smkn10surabaya.sch.id,A,2534,810,1724,72
20532203,SMKN 2 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Sawahan,JL. TENTARA GENIE PELAJAR 26,-,60252,0315343708,smekda.surabaya@gmail.com,http://smkn2sby.sch.id,A,2534,1914,620,72
20533816,SMKN 4 MALANG,SMK,NEGERI,Kota Malang,Kec. Klojen,JL. TANIMBAR 22 MALANG,Kasin,65117,0341353798,mail@smkn4malang.sch.id,http://smkn4malang.sch.id,A,2527,1417,1110,75
20532205,SMKN 1 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Wonokromo,JL. SMEA NO. 4 WONOKROMO,-,60243,0318292039,info@smkn1-sby.sch.id,http://www.smkn1-sby.sch.id,A,2517,986,1531,72
20532212,SMKN 6 SURABAYA,SMK,NEGERI,Kota Surabaya,Kec. Wonocolo,JL. MARGOREJO NO.76 WONOCOLO SURABAYA,-,60238,0318438267,smkn6s@yahoo.com,http://www.smkn6-sby.sch.id,A,2510,588,1922,72
